product_image_url,product_price
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/718195/1.jpg?7821," 12,896"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/670916/1.jpg?4303," 4,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/677914/1.jpg?8931," 3,740"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/755916/1.jpg?3989," 10,652"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/452691/1.jpg?0479," 8,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/079316/1.jpg?6917," 25,265"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/142906/1.jpg?5690," 10,527"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/790614/1.jpg?9610," 5,508"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/311525/1.jpg?2008," 5,570"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/179316/1.jpg?7085," 20,323"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/526575/1.jpg?0286," 5,424 - ₦ 6,026"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/585055/1.jpg?9241," 1,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/659316/1.jpg?4704," 12,982"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/406281/1.jpg?4170," 7,200"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/565485/1.jpg?5314," 6,500 - ₦ 7,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/465924/1.jpg?7976," 2,550"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/722751/1.jpg?8935," 3,699"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/542671/1.jpg?4606," 12,932"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/031621/1.jpg?7383," 1,160"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/14709/1.jpg?0181,"₦ 3,299"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/107725/1.jpg?2386," 25,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/755916/1.jpg?3990," 9,399"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/117026/1.jpg?7837," 5,990"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/003381/1.jpg?4038," 5,700"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/743842/1.jpg?7420," 3,600"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/017026/1.jpg?7839," 4,990"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/80368/1.jpg?0260," 3,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/892906/1.jpg?7070," 9,273"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/645916/1.jpg?2554," 7,984"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/829484/1.jpg?3366," 6,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/945916/1.jpg?2738," 13,015"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/958195/1.jpg?8293," 3,871"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/855691/1.jpg?7305," 6,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/691126/1.jpg?2762," 6,768"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/345916/1.jpg?2514," 15,593"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/729804/1.jpg?0061," 5,398"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/066004/1.jpg?2663," 4,684"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/815164/1.jpg?2387," 4,650"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/668953/1.jpg?5831," 7,800"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/308221/1.jpg?1390," 2,799 - ₦ 3,499"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/809005/1.jpg?1572," 4,799"
